,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,inf,0.0398,0.0442,0.0503,0.0404,0.0215,0.0119,0.0044,0.0091,0.0185,0.028,0.0386,0.0466,0.0652,0.0663,0.0634,0.1242,0.1256,0.1585,0.1932,0.1937,0.204,0.2155,0.2576,0.2712,0.276,0.2841,0.3109,0.312
1,0.0398,inf,0.0064,0.0114,0.0042,0.0183,0.028,0.0376,0.0474,0.0572,0.0668,0.0776,0.0855,0.1043,0.1054,0.1026,0.163,0.1644,0.1973,0.232,0.2325,0.2429,0.2543,0.2966,0.31,0.3149,0.323,0.3497,0.3508
2,0.0442,0.0064,inf,0.0061,0.0038,0.0229,0.0327,0.0424,0.0522,0.062,0.0717,0.0825,0.0904,0.1092,0.1103,0.1074,0.168,0.1694,0.2023,0.237,0.2376,0.2479,0.2594,0.3015,0.3151,0.3199,0.328,0.3548,0.3558
3,0.0503,0.0114,0.0061,inf,0.0099,0.0289,0.0387,0.0484,0.0583,0.0681,0.0777,0.0885,0.0965,0.1152,0.1163,0.1134,0.174,0.1754,0.2083,0.243,0.2436,0.2539,0.2654,0.3076,0.3211,0.3259,0.334,0.3608,0.3618
4,0.0404,0.0042,0.0038,0.0099,inf,0.0191,0.0289,0.0386,0.0484,0.0582,0.0679,0.0787,0.0866,0.1054,0.1065,0.1036,0.1642,0.1656,0.1985,0.2332,0.2338,0.2441,0.2556,0.2977,0.3113,0.3161,0.3242,0.351,0.352
5,0.0215,0.0183,0.0229,0.0289,0.0191,inf,0.0098,0.0195,0.0294,0.0392,0.0488,0.0596,0.0676,0.0863,0.0874,0.0845,0.1451,0.1466,0.1795,0.2142,0.2147,0.225,0.2365,0.2787,0.2922,0.2971,0.3051,0.3319,0.333
6,0.0119,0.028,0.0327,0.0387,0.0289,0.0098,inf,0.0097,0.0195,0.0293,0.039,0.0497,0.0577,0.0765,0.0776,0.0747,0.1353,0.1367,0.1696,0.2043,0.2049,0.2152,0.2267,0.2688,0.2824,0.2872,0.2953,0.3221,0.3231
7,0.0044,0.0376,0.0424,0.0484,0.0386,0.0195,0.0097,inf,0.0099,0.0197,0.0293,0.0401,0.048,0.0668,0.0679,0.065,0.1256,0.127,0.1599,0.1946,0.1952,0.2055,0.217,0.2592,0.2727,0.2775,0.2856,0.3124,0.3135
8,0.0091,0.0474,0.0522,0.0583,0.0484,0.0294,0.0195,0.0099,inf,0.0098,0.0194,0.0302,0.0382,0.0569,0.058,0.0552,0.1158,0.1172,0.1501,0.1848,0.1853,0.1957,0.2071,0.2493,0.2628,0.2677,0.2757,0.3025,0.3036
9,0.0185,0.0572,0.062,0.0681,0.0582,0.0392,0.0293,0.0197,0.0098,inf,0.0096,0.0204,0.0284,0.0471,0.0482,0.0454,0.106,0.1074,0.1403,0.175,0.1755,0.1859,0.1973,0.2395,0.253,0.2579,0.2659,0.2927,0.2938
10,0.028,0.0668,0.0717,0.0777,0.0679,0.0488,0.039,0.0293,0.0194,0.0096,inf,0.0108,0.0188,0.0375,0.0386,0.0358,0.0964,0.0978,0.1307,0.1654,0.1659,0.1762,0.1877,0.2299,0.2434,0.2482,0.2563,0.2831,0.2842
11,0.0386,0.0776,0.0825,0.0885,0.0787,0.0596,0.0497,0.0401,0.0302,0.0204,0.0108,inf,0.008,0.0267,0.0279,0.025,0.0856,0.087,0.1199,0.1546,0.1551,0.1655,0.1769,0.2191,0.2326,0.2375,0.2455,0.2723,0.2734
12,0.0466,0.0855,0.0904,0.0965,0.0866,0.0676,0.0577,0.048,0.0382,0.0284,0.0188,0.008,inf,0.0188,0.0199,0.0172,0.0776,0.079,0.1119,0.1466,0.1472,0.1575,0.1689,0.2111,0.2246,0.2295,0.2376,0.2644,0.2654
13,0.0652,0.1043,0.1092,0.1152,0.1054,0.0863,0.0765,0.0668,0.0569,0.0471,0.0375,0.0267,0.0188,inf,0.0013,0.0022,0.059,0.0604,0.0933,0.128,0.1285,0.1388,0.1503,0.1924,0.2059,0.2108,0.2189,0.2457,0.2468
14,0.0663,0.1054,0.1103,0.1163,0.1065,0.0874,0.0776,0.0679,0.058,0.0482,0.0386,0.0279,0.0199,0.0013,inf,0.003,0.058,0.0594,0.0922,0.1269,0.1274,0.1377,0.1492,0.1913,0.2049,0.2097,0.2178,0.2446,0.2457
